Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR,IWD
Priest of Ancient Lore,W,C,37137,3.43,12727,3.96,45707,55.70%,12250,58.00%,18067,58.80%,30317,58.50%,21355,52.80%,5.7pp
,,,,,,,,,,,,,,,,,
Rally Maneuver,W,U,21311,5.26,3829,6.98,13060,53.60%,2264,51.20%,3550,56.80%,5814,54.60%,7423,52.90%,1.7pp
,,,,,,,,,,,,,,,,,
Ranger's Hawk,W,C,66670,6.39,9741,8.86,26040,54.10%,5649,55.60%,8029,55.20%,13678,55.40%,13759,53.10%,2.3pp
,,,,,,,,,,,,,,,,,
Steadfast Paladin,W,C,46251,4.12,12966,4.98,46222,55.40%,12461,58.70%,17667,56.90%,30128,57.70%,21629,53.00%,4.7pp
,,,,,,,,,,,,,,,,,
Teleportation Circle,W,R,2943,2.16,1713,2.15,8485,54.10%,1486,55.90%,2794,57.90%,4280,57.20%,4281,51.20%,6.0pp
,,,,,,,,,,,,,,,,,
Veteran Dungeoneer,W,C,56949,5.14,11649,6.65,35472,54.80%,8357,56.00%,14038,58.20%,22395,57.40%,17015,52.60%,4.8pp
,,,,,,,,,,,,,,,,,
White Dragon,W,U,11366,3.03,3494,3.41,16404,55.40%,2832,55.00%,5063,59.50%,7895,57.90%,8958,53.10%,4.7pp
,,,,,,,,,,,,,,,,,
You Hear Something on Watch,W,C,53693,4.79,11603,6.17,39839,54.90%,9369,55.00%,14406,58.00%,23775,56.80%,19422,53.30%,3.5pp
,,,,,,,,,,,,,,,,,
You're Ambushed on the Road,W,C,76052,7.97,9991,11.1,9103,55.20%,1629,54.30%,2719,54.70%,4348,54.60%,4950,55.60%,-1.1pp
,,,,,,,,,,,,,,,,,
Aberrant Mind Sorcerer,U,U,21866,5.61,2705,8.02,5080,50.60%,863,48.40%,1751,54.00%,2614,52.10%,2669,49.30%,2.8pp
,,,,,,,,,,,,,,,,,
Air-Cult Elemental,U,C,68624,7.03,8232,9.85,14661,53.70%,2703,51.90%,5506,57.40%,8209,55.60%,7351,51.90%,3.7pp
,,,,,,,,,,,,,,,,,
Arcane Investigator,U,C,70697,7.27,7600,10.28,15071,54.00%,3508,54.30%,5317,55.60%,8825,55.10%,7386,53.00%,2.0pp
,,,,,,,,,,,,,,,,,
Bar the Gate,U,C,70881,7.57,6720,11.14,6180,53.00%,1357,55.60%,2263,56.60%,3620,56.20%,3000,50.30%,5.9pp
,,,,,,,,,,,,,,,,,
The Blackstaff of Waterdeep,U,R,6942,4.94,1022,7.02,558,,112,,171,,283,49.50%,282,44.30%,5.1pp
,,,,,,,,,,,,,,,,,
Blue Dragon,U,U,16636,4.3,2477,5.71,8243,53.20%,1385,51.50%,2867,56.10%,4252,54.60%,4270,51.90%,2.7pp
,,,,,,,,,,,,,,,,,
Charmed Sleep,U,C,52989,5.06,5859,7.1,16320,53.70%,3942,52.30%,7018,56.30%,10960,54.80%,7264,52.80%,2.1pp
,,,,,,,,,,,,,,,,,
Clever Conjurer,U,C,73097,7.73,8700,10.67,12738,53.20%,3055,54.00%,4594,54.50%,7649,54.30%,6176,51.90%,2.4pp
,,,,,,,,,,,,,,,,,
Contact Other Plane,U,C,66262,6.57,6791,9.51,14004,52.30%,2741,49.70%,4821,55.80%,7562,53.50%,7276,51.80%,1.8pp
,,,,,,,,,,,,,,,,,
Demilich,U,M,1956,3.19,432,3.7,562,,91,,148,,239,46.90%,328,50.90%,-4.1pp
,,,,,,,,,,,,,,,,,
Displacer Beast,U,U,17967,4.64,2600,6.3,8442,54.00%,1767,54.30%,4120,55.70%,5887,55.30%,4305,51.60%,3.7pp
,,,,,,,,,,,,,,,,,
Djinni Windseer,U,C,52168,4.91,7481,6.54,21075,54.60%,5520,55.00%,9881,58.60%,15401,57.30%,8974,51.50%,5.8pp
,,,,,,,,,,,,,,,,,
Dragon Turtle,U,R,3359,2.71,901,2.95,3730,54.10%,653,56.20%,1167,59.70%,1820,58.50%,1986,50.40%,8.1pp
,,,,,,,,,,,,,,,,,
Eccentric Apprentice,U,U,16666,4.26,2735,5.54,9045,54.20%,1972,54.90%,3225,58.90%,5197,57.40%,4441,51.40%,6.0pp
,,,,,,,,,,,,,,,,,
Feywild Trickster,U,U,17675,4.65,2648,6.11,6271,52.50%,1407,52.60%,2391,54.30%,3798,53.70%,2986,52.00%,1.7pp
,,,,,,,,,,,,,,,,,
Fly,U,U,18253,4.76,2421,6.6,7078,53.40%,1401,53.40%,2247,57.00%,3648,55.60%,3662,51.30%,4.3pp
,,,,,,,,,,,,,,,,,
"Grazilaxx, Illithid Scholar",U,R,2928,2.25,982,2.26,4255,54.30%,756,58.20%,1339,58.80%,2095,58.60%,2321,51.00%,7.6pp
,,,,,,,,,,,,,,,,,
Guild Thief,U,U,18392,4.9,2037,7.11,5546,51.80%,1189,50.80%,1749,52.20%,2938,51.60%,2875,51.70%,-0.1pp
,,,,,,,,,,,,,,,,,
"Iymrith, Desert Doom",U,M,919,1.33,664,1.26,3537,58.00%,581,66.30%,1048,67.60%,1629,67.10%,1961,51.20%,15.8pp
,,,,,,,,,,,,,,,,,
Mind Flayer,U,R,2648,1.91,1356,1.81,6853,58.10%,1136,62.70%,2178,65.20%,3314,64.40%,3700,52.90%,11.5pp
,,,,,,,,,,,,,,,,,
Mordenkainen,U,M,962,1.39,662,1.34,3235,56.00%,497,58.10%,991,60.90%,1488,60.00%,1757,52.90%,7.1pp
,,,,,,,,,,,,,,,,,
Mordenkainen's Polymorph,U,C,78354,9.02,6911,13.18,350,,55,,112,,167,,195,,
,,,,,,,,,,,,,,,,,
Pixie Guide,U,C,66276,6.8,6508,9.81,11636,52.60%,2923,53.00%,4308,53.00%,7231,53.00%,5516,51.60%,1.4pp
,,,,,,,,,,,,,,,,,
Power of Persuasion,U,U,25598,6.94,2514,10.52,1918,49.40%,386,48.20%,620,53.10%,1006,51.20%,1003,47.50%,3.7pp
,,,,,,,,,,,,,,,,,
Ray of Frost,U,U,19525,5.01,2785,6.93,8770,53.20%,1773,53.90%,2959,55.50%,4732,54.90%,4420,51.90%,3.0pp
,,,,,,,,,,,,,,,,,
Rimeshield Frost Giant,U,C,70903,7.39,7426,10.58,10994,52.70%,2048,52.20%,3918,55.60%,5966,54.50%,5598,51.00%,3.5pp
,,,,,,,,,,,,,,,,,
Scion of Stygia,U,C,65577,6.48,7730,9.05,16388,53.20%,4108,51.20%,6756,56.60%,10864,54.50%,7404,51.80%,2.7pp
,,,,,,,,,,,,,,,,,
Secret Door,U,C,75007,8.22,7473,11.77,6844,52.00%,1382,46.10%,2136,53.00%,3518,50.30%,3599,53.10%,-2.8pp
,,,,,,,,,,,,,,,,,
Shocking Grasp,U,C,77384,8.63,7860,12.34,3725,51.80%,741,52.20%,1195,54.50%,1936,53.60%,1951,50.10%,3.5pp
,,,,,,,,,,,,,,,,,
Shortcut Seeker,U,C,70667,7.44,6892,10.86,8658,51.60%,1771,50.90%,3113,52.10%,4884,51.70%,4322,51.20%,0.5pp
,,,,,,,,,,,,,,,,,
Silver Raven,U,C,74120,8.13,5639,12.38,2469,50.80%,570,51.20%,832,53.70%,1402,52.70%,1229,48.80%,3.9pp
,,,,,,,,,,,,,,,,,
Soulknife Spy,U,C,62208,6.04,7168,8.54,16150,52.80%,4046,53.10%,6555,54.50%,10601,54.00%,7526,51.80%,2.2pp
,,,,,,,,,,,,,,,,,
Split the Party,U,U,26133,7.39,2704,10.84,1628,52.40%,280,45.00%,476,57.40%,756,52.80%,898,52.20%,0.6pp
,,,,,,,,,,,,,,,,,
Sudden Insight,U,U,28873,8.15,3217,11.87,271,,47,,69,,116,,156,,
,,,,,,,,,,,,,,,,,
Tasha's Hideous Laughter,U,R,5817,4.51,708,6.43,575,,127,,241,55.60%,368,51.40%,266,46.20%,5.1pp
,,,,,,,,,,,,,,,,,
Trickster's Talisman,U,U,22316,5.78,2628,8.42,4719,50.60%,863,47.40%,1383,54.60%,2246,51.80%,2548,49.80%,2.0pp
,,,,,,,,,,,,,,,,,
True Polymorph,U,R,7400,5.32,951,7.78,454,,70,,142,,212,42.00%,252,44.00%,-2.1pp
,,,,,,,,,,,,,,,,,
Wizard Class,U,U,15913,4.19,2250,5.62,7890,52.50%,1524,52.00%,2502,53.40%,4026,52.90%,4079,52.00%,0.9pp
,,,,,,,,,,,,,,,,,
Wizard's Spellbook,U,R,6491,4.68,980,6.43,1154,49.20%,169,,355,52.10%,524,47.30%,633,50.90%,-3.5pp
,,,,,,,,,,,,,,,,,
You Come to a River,U,C,74904,7.92,7554,11.4,8560,53.90%,1622,49.80%,2821,57.20%,4443,54.50%,4476,53.50%,0.9pp
,,,,,,,,,,,,,,,,,
You Find the Villains' Lair,U,C,74118,8.03,6392,11.92,3629,52.50%,743,53.00%,1211,56.00%,1954,54.90%,1854,50.10%,4.8pp
,,,,,,,,,,,,,,,,,
You See a Guard Approach,U,C,78865,8.96,7712,12.76,2292,54.50%,403,49.40%,682,57.80%,1085,54.70%,1256,54.40%,0.3pp
,,,,,,,,,,,,,,,,,
Yuan-Ti Malison,U,R,2713,2.14,1105,2.05,5198,56.30%,978,64.60%,1517,61.20%,2495,62.50%,2847,51.10%,11.5pp
,,,,,,,,,,,,,,,,,
Acererak the Archlich,B,M,1033,1.64,605,1.61,2893,52.20%,515,47.80%,4027,51.40%,4542,51.00%,1600,54.20%,-3.2pp
,,,,,,,,,,,,,,,,,
Asmodeus the Archfiend,B,R,4970,3.67,857,4.77,1965,51.80%,290,49.70%,585,48.50%,875,48.90%,1125,53.70%,-4.8pp
,,,,,,,,,,,,,,,,,
Baleful Beholder,B,C,70110,6.83,10819,9.49,25928,56.10%,4155,53.50%,7741,55.90%,11896,55.10%,14687,56.60%,-1.5pp
,,,,,,,,,,,,,,,,,
Black Dragon,B,U,10985,2.84,4528,3.09,22656,57.10%,3665,58.70%,7160,61.00%,10825,60.20%,12471,54.80%,5.4pp
,,,,,,,,,,,,,,,,,
The Book of Vile Darkness,B,M,2806,3.94,429,5.3,125,,21,,39,,60,,66,,
,,,,,,,,,,,,,,,,,
Check for Traps,B,U,23544,5.84,3902,8.11,9695,54.10%,1846,54.40%,2528,50.80%,4374,52.30%,5418,55.30%,-3.0pp
,,,,,,,,,,,,,,,,,
Clattering Skeletons,B,C,62966,5.61,10410,7.85,32237,56.30%,6528,56.10%,11005,57.20%,17533,56.80%,16797,55.70%,1.1pp
,,,,,,,,,,,,,,,,,
Deadly Dispute,B,C,57097,5.19,13438,6.64,48901,57.60%,10989,58.20%,16522,58.40%,27511,58.30%,25014,57.20%,1.1pp
,,,,,,,,,,,,,,,,,
Death-Priest of Myrkul,B,U,12942,3.23,3727,3.84,16503,54.40%,3052,51.90%,5029,55.50%,8081,54.10%,9017,54.70%,-0.6pp
,,,,,,,,,,,,,,,,,
Demogorgon's Clutches,B,U,23120,6.05,2562,9.36,2896,51.60%,512,48.60%,723,54.50%,1235,52.10%,1687,51.20%,0.9pp
,,,,,,,,,,,,,,,,,
Devour Intellect,B,C,77736,8.77,7932,12.66,436,,78,,131,,209,45.90%,236,48.30%,-2.4pp
,,,,,,,,,,,,,,,,,
Drider,B,U,16730,4.16,2570,5.69,8738,52.80%,1453,48.10%,2625,51.70%,4078,50.40%,4943,54.60%,-4.2pp
,,,,,,,,,,,,,,,,,
Dungeon Crawler,B,U,21535,5.23,4277,6.95,14593,55.60%,2962,59.30%,4925,55.90%,7887,57.20%,7909,55.50%,1.7pp
,,,,,,,,,,,,,,,,,
"Ebondeath, Dracolich",B,M,903,1.28,722,1.28,3928,57.60%,655,66.40%,1095,63.30%,1750,64.50%,2221,52.10%,12.4pp
,,,,,,,,,,,,,,,,,
Eyes of the Beholder,B,C,71924,7.24,9244,10.38,10326,52.50%,1643,48.40%,3007,53.90%,4650,52.00%,5848,52.60%,-0.6pp
,,,,,,,,,,,,,,,,,
Fates' Reversal,B,C,68434,6.55,11386,9.05,27437,55.80%,4875,53.70%,8222,56.70%,13097,55.50%,15032,56.20%,-0.7pp
,,,,,,,,,,,,,,,,,
Feign Death,B,C,69076,6.7,10555,9.41,27121,56.90%,4831,57.00%,7819,57.30%,12650,57.20%,15071,56.70%,0.5pp
,,,,,,,,,,,,,,,,,
Forsworn Paladin,B,R,2576,1.86,1608,1.84,8819,58.10%,1593,61.80%,2371,60.60%,3964,61.10%,4977,56.00%,5.1pp
,,,,,,,,,,,,,,,,,
Gelatinous Cube,B,R,2215,1.55,1617,1.53,9079,60.20%,1594,63.90%,2749,65.60%,4343,65.00%,5034,56.50%,8.5pp
,,,,,,,,,,,,,,,,,
Grim Bounty,B,C,26170,2.53,13183,2.71,55366,57.70%,12544,58.70%,20094,61.60%,32638,60.50%,27132,55.10%,5.3pp
,,,,,,,,,,,,,,,,,
Grim Wanderer,B,U,14489,3.59,3852,4.38,18477,56.20%,3422,56.50%,5505,56.80%,8927,56.70%,10163,55.80%,0.9pp
,,,,,,,,,,,,,,,,,
Herald of Hadar,B,C,70864,6.93,8429,10.17,11965,53.20%,1989,49.80%,3628,51.40%,5617,50.80%,6700,54.70%,-3.8pp
,,,,,,,,,,,,,,,,,
Hired Hexblade,B,C,64787,5.97,13245,7.96,44092,57.30%,10433,56.30%,14822,56.30%,25255,56.30%,22143,57.90%,-1.5pp
,,,,,,,,,,,,,,,,,
Hoard Robber,B,C,57299,5.08,10936,6.75,41940,56.10%,9742,59.20%,13046,54.60%,22788,56.60%,21689,55.50%,1.1pp
,,,,,,,,,,,,,,,,,
Lightfoot Rogue,B,U,15604,3.8,3072,4.94,13429,54.70%,2680,55.50%,3852,54.20%,6532,54.80%,7331,54.40%,0.3pp
,,,,,,,,,,,,,,,,,
"Lolth, Spider Queen",B,M,832,1.14,745,1.13,4309,59.60%,724,67.00%,1147,66.90%,1871,66.90%,2451,54.10%,12.8pp
,,,,,,,,,,,,,,,,,
Manticore,B,C,66878,6.34,8921,9.17,18994,55.00%,3370,53.90%,5661,54.60%,9031,54.30%,10498,55.40%,-1.1pp
,,,,,,,,,,,,,,,,,
Power Word Kill,B,U,7837,2.07,4742,2.15,24569,58.00%,4767,61.00%,7199,62.50%,11966,61.90%,13198,54.80%,7.1pp
,,,,,,,,,,,,,,,,,
Precipitous Drop,B,C,40167,3.67,11846,4.41,44037,56.10%,10374,55.80%,16408,59.20%,26782,57.90%,21245,54.70%,3.2pp
,,,,,,,,,,,,,,,,,
Ray of Enfeeblement,B,U,16383,3.96,5334,4.61,24637,57.30%,4742,58.80%,7107,59.30%,11849,59.10%,13353,55.90%,3.2pp
,,,,,,,,,,,,,,,,,
Reaper's Talisman,B,U,9518,2.5,5295,2.61,26888,56.80%,5136,57.80%,7795,60.10%,12931,59.20%,14521,55.00%,4.2pp
,,,,,,,,,,,,,,,,,
Sepulcher Ghoul,B,C,56687,5.09,16163,6.15,53501,57.40%,14084,58.70%,19908,56.80%,33992,57.60%,25311,56.90%,0.6pp
,,,,,,,,,,,,,,,,,
Shambling Ghast,B,C,53497,4.61,13242,5.84,53267,57.20%,12765,60.60%,17912,56.40%,30677,58.20%,26581,55.90%,2.2pp
,,,,,,,,,,,,,,,,,
Skullport Merchant,B,U,10045,2.57,5511,2.72,27910,58.60%,5665,63.40%,8526,61.00%,14191,62.00%,14920,55.70%,6.3pp
,,,,,,,,,,,,,,,,,
Sphere of Annihilation,B,R,4580,3.5,790,4.32,1933,51.10%,329,50.50%,547,50.50%,876,50.50%,1064,51.50%,-1.0pp
,,,,,,,,,,,,,,,,,
Thieves' Tools,B,C,62652,5.98,9067,8.39,24021,53.90%,4553,50.10%,6522,52.40%,11075,51.50%,13306,55.80%,-4.3pp
,,,,,,,,,,,,,,,,,
Vampire Spawn,B,C,59698,5.32,14606,6.68,51116,57.90%,13220,58.40%,19938,59.70%,33158,59.20%,23830,56.30%,2.9pp
,,,,,,,,,,,,,,,,,
Vorpal Sword,B,R,2702,2.18,1138,2.17,5342,54.30%,903,54.30%,1398,54.00%,2301,54.10%,3050,54.40%,-0.3pp
,,,,,,,,,,,,,,,,,
Warlock Class,B,U,15966,3.84,5531,4.43,25684,58.80%,5170,61.60%,7413,61.00%,12583,61.30%,13754,57.00%,4.3pp
,,,,,,,,,,,,,,,,,
Westgate Regent,B,R,1949,1.33,1605,1.31,9008,56.90%,1555,61.00%,2623,62.90%,4178,62.20%,5082,52.70%,9.5pp
,,,,,,,,,,,,,,,,,
Wight,B,R,2726,1.95,1634,1.94,8980,57.80%,1663,63.10%,2369,56.90%,4032,59.50%,5136,56.50%,3.0pp
,,,,,,,,,,,,,,,,,
