Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR,IWD
Obsessive Astronomer,R,U,16314,4.57,2963,6.1,10441,53.50%,2195,54.10%,2873,53.00%,5068,53.50%,5706,53.50%,-0.0pp
,,,,,,,,,,,,,,,,,
Pack's Betrayal,R,C,60885,7.46,6139,11.14,3839,50.80%,699,50.50%,1218,50.00%,1917,50.20%,2115,51.10%,-0.9pp
,,,,,,,,,,,,,,,,,
Play with Fire,R,U,10697,2.97,2803,3.56,12351,54.00%,2435,56.60%,3948,57.40%,6383,57.10%,6733,52.00%,5.1pp
,,,,,,,,,,,,,,,,,
Purifying Dragon,R,U,9890,2.84,2490,3.38,10364,53.20%,1865,53.10%,3051,52.50%,4916,52.70%,5809,53.60%,-0.8pp
,,,,,,,,,,,,,,,,,
Raze the Effigy,R,C,62177,7.79,6105,11.52,4146,52.80%,677,49.00%,1158,51.60%,1835,50.60%,2425,53.90%,-3.3pp
,,,,,,,,,,,,,,,,,
Reckless Stormseeker,R,R,1662,1.59,973,1.59,4471,54.80%,824,61.00%,1196,57.00%,2020,58.70%,2540,51.90%,6.7pp
,,,,,,,,,,,,,,,,,
Seize the Storm,R,U,17541,5.21,3085,6.63,7323,52.40%,1474,47.90%,3131,56.20%,4605,53.60%,3376,51.90%,1.7pp
,,,,,,,,,,,,,,,,,
Smoldering Egg,R,R,2253,2.09,935,2.04,3487,53.90%,667,56.50%,1083,54.70%,1750,55.40%,1818,52.30%,3.1pp
,,,,,,,,,,,,,,,,,
Spellrune Painter,R,U,12824,3.76,2391,4.83,9290,52.20%,1844,53.70%,2792,51.60%,4636,52.40%,5039,52.10%,0.4pp
,,,,,,,,,,,,,,,,,
Stolen Vitality,R,C,59518,6.99,6309,10.31,10591,52.60%,1901,52.50%,3081,52.70%,4982,52.60%,6017,52.60%,0.1pp
,,,,,,,,,,,,,,,,,
Sunstreak Phoenix,R,M,791,1.36,526,1.36,2227,53.00%,369,51.80%,596,54.40%,965,53.40%,1306,52.90%,0.5pp
,,,,,,,,,,,,,,,,,
Tavern Ruffian,R,C,55416,6.14,6038,9.11,12236,50.90%,2547,48.40%,3924,49.40%,6471,49.00%,6545,52.20%,-3.2pp
,,,,,,,,,,,,,,,,,
Thermo-Alchemist,R,U,13878,4.02,3028,5.11,10761,54.00%,2389,58.20%,3580,54.80%,5969,56.10%,5475,52.40%,3.7pp
,,,,,,,,,,,,,,,,,
Village Watch,R,U,13612,4.04,2039,5.46,6224,50.90%,1014,45.60%,1792,49.20%,2806,47.90%,3591,52.90%,-5.0pp
,,,,,,,,,,,,,,,,,
Voldaren Ambusher,R,U,15947,4.58,2667,6,7655,54.00%,1692,55.70%,2298,52.80%,3990,54.00%,4089,54.10%,-0.1pp
,,,,,,,,,,,,,,,,,
Voldaren Stinger,R,C,56430,6.49,6496,9.36,14554,54.30%,3607,59.00%,4420,50.60%,8027,54.40%,7505,54.20%,0.2pp
,,,,,,,,,,,,,,,,,
Augur of Autumn,G,R,1841,1.64,1016,1.63,4777,57.00%,864,59.00%,1256,60.00%,2120,59.60%,2748,54.80%,4.8pp
,,,,,,,,,,,,,,,,,
Bird Admirer,G,C,53026,5.64,6845,8.22,19649,53.90%,4390,51.70%,6309,52.60%,10699,52.20%,10317,54.90%,-2.7pp
,,,,,,,,,,,,,,,,,
Bounding Wolf,G,C,57158,6.54,6017,9.81,11147,51.60%,2319,51.70%,3447,50.60%,5766,51.00%,5921,51.90%,-0.8pp
,,,,,,,,,,,,,,,,,
Bramble Armor,G,C,63320,8.01,6079,11.9,3206,53.90%,537,50.70%,805,48.90%,1342,49.60%,1897,56.90%,-7.3pp
,,,,,,,,,,,,,,,,,
Briarbridge Tracker,G,R,1991,1.7,1055,1.65,5002,58.60%,968,63.30%,1325,60.70%,2293,61.80%,2806,56.30%,5.5pp
,,,,,,,,,,,,,,,,,
Brood Weaver,G,U,16662,4.68,2862,6.22,9167,55.30%,1627,53.70%,2763,54.00%,4390,53.90%,5112,55.80%,-2.0pp
,,,,,,,,,,,,,,,,,
Burly Breaker,G,U,10733,3.21,2407,3.93,10829,54.90%,1976,56.60%,3179,55.70%,5155,56.10%,6071,54.30%,1.8pp
,,,,,,,,,,,,,,,,,
Candlelit Cavalry,G,C,58426,6.7,6732,9.84,13269,53.80%,2399,52.20%,4137,53.40%,6536,53.00%,7325,54.20%,-1.2pp
,,,,,,,,,,,,,,,,,
Clear Shot,G,U,10689,3.01,3392,3.57,14617,56.10%,2737,56.20%,4579,60.60%,7316,59.00%,8011,53.90%,5.1pp
,,,,,,,,,,,,,,,,,
Consuming Blob,G,M,789,1.39,539,1.36,2658,59.30%,440,65.90%,801,63.80%,1241,64.50%,1472,55.20%,9.4pp
,,,,,,,,,,,,,,,,,
Contortionist Troupe,G,U,10877,3.13,2869,3.84,12658,55.20%,2415,57.30%,3858,57.30%,6273,57.30%,6884,53.40%,3.9pp
,,,,,,,,,,,,,,,,,
Dawnhart Mentor,G,U,13906,3.92,2968,4.96,12130,56.80%,2408,58.30%,3456,61.00%,5864,59.90%,6636,53.80%,6.1pp
,,,,,,,,,,,,,,,,,
Dawnhart Rejuvenator,G,C,55674,6.16,7466,8.69,16001,53.60%,3476,54.10%,5502,55.20%,8978,54.80%,8162,52.70%,2.1pp
,,,,,,,,,,,,,,,,,
Deathbonnet Sprout,G,U,13376,3.93,2986,4.97,11123,56.50%,2360,62.40%,3406,57.60%,5766,59.50%,5884,53.90%,5.6pp
,,,,,,,,,,,,,,,,,
Defend the Celestus,G,U,15758,4.52,2656,5.96,8935,54.00%,1507,54.00%,2537,55.30%,4044,54.80%,5068,53.50%,1.3pp
,,,,,,,,,,,,,,,,,
Dryad's Revival,G,U,19254,5.73,2669,8.24,6328,54.80%,1006,53.30%,1692,56.40%,2698,55.30%,3726,54.40%,0.8pp
,,,,,,,,,,,,,,,,,
Duel for Dominance,G,C,45986,4.74,8088,6.35,25671,54.60%,5783,52.90%,9259,55.40%,15042,54.40%,12846,54.70%,-0.2pp
,,,,,,,,,,,,,,,,,
Eccentric Farmer,G,C,57881,6.6,10704,8.45,23155,56.70%,6391,58.30%,9291,59.80%,15682,59.20%,10487,54.40%,4.8pp
,,,,,,,,,,,,,,,,,
Harvesttide Sentry,G,C,57258,6.29,8279,8.64,21929,55.60%,5491,57.00%,7361,54.30%,12852,55.50%,10946,55.30%,0.2pp
,,,,,,,,,,,,,,,,,
Hound Tamer,G,U,9029,2.67,2774,3.08,12667,55.40%,2527,56.70%,3886,56.80%,6413,56.80%,6878,53.80%,3.0pp
,,,,,,,,,,,,,,,,,
Howl of the Hunt,G,C,58341,6.85,5958,10.34,9012,53.30%,1698,54.80%,2501,51.40%,4199,52.80%,5058,53.50%,-0.8pp
,,,,,,,,,,,,,,,,,
Might of the Old Ways,G,C,61228,7.34,7442,10.52,12792,54.50%,2387,53.70%,3842,55.00%,6229,54.50%,7043,54.70%,-0.2pp
,,,,,,,,,,,,,,,,,
Outland Liberator,G,U,12176,3.49,2760,4.49,12336,55.20%,2467,56.50%,3539,54.10%,6006,55.10%,6755,55.10%,0.0pp
,,,,,,,,,,,,,,,,,
Path to the Festival,G,C,59189,7.04,7135,10.13,9606,52.00%,1985,49.50%,2913,49.70%,4898,49.60%,5099,54.00%,-4.4pp
,,,,,,,,,,,,,,,,,
Pestilent Wolf,G,C,57032,6.33,6999,9.02,18825,54.10%,4443,53.40%,5943,51.70%,10386,52.50%,9707,55.60%,-3.2pp
,,,,,,,,,,,,,,,,,
Plummet,G,C,64132,8.97,6172,13.01,473,,64,,136,,200,48.00%,276,49.30%,-1.3pp
,,,,,,,,,,,,,,,,,
Primal Adversary,G,M,773,1.29,515,1.28,2255,55.30%,426,53.80%,630,61.90%,1056,58.60%,1244,52.90%,5.7pp
,,,,,,,,,,,,,,,,,
Return to Nature,G,C,64323,8.79,6288,12.88,412,,59,,110,,169,,245,44.90%,
,,,,,,,,,,,,,,,,,
Rise of the Ants,G,U,14589,4.16,3606,5.05,13622,57.80%,2418,60.40%,4329,62.40%,6747,61.70%,7395,54.70%,7.0pp
,,,,,,,,,,,,,,,,,
"Saryth, the Viper's Fang",G,R,1848,1.61,919,1.57,4062,54.50%,691,55.40%,1110,54.80%,1801,55.00%,2345,54.10%,0.9pp
,,,,,,,,,,,,,,,,,
Shadowbeast Sighting,G,C,48418,4.98,9240,6.52,28630,55.70%,6956,57.40%,10685,57.50%,17641,57.40%,13767,54.00%,3.4pp
,,,,,,,,,,,,,,,,,
Snarling Wolf,G,C,58782,7.06,5906,10.58,7923,52.50%,1620,52.70%,2307,51.00%,3927,51.70%,4309,53.10%,-1.5pp
,,,,,,,,,,,,,,,,,
Storm the Festival,G,R,2807,2.45,752,2.56,2469,53.10%,374,50.80%,633,54.20%,1007,52.90%,1486,53.60%,-0.6pp
,,,,,,,,,,,,,,,,,
Tapping at the Window,G,C,63049,8.17,7052,11.78,3543,54.10%,682,51.60%,964,53.20%,1646,52.60%,1964,55.40%,-2.9pp
,,,,,,,,,,,,,,,,,
Timberland Guide,G,C,57854,6.54,7609,9.21,18627,54.50%,4394,55.00%,5905,53.00%,10299,53.80%,9578,54.80%,-0.9pp
,,,,,,,,,,,,,,,,,
Tireless Hauler,G,C,53235,5.77,6249,8.49,17378,53.00%,3319,50.90%,5712,52.40%,9031,51.80%,9303,53.80%,-2.0pp
,,,,,,,,,,,,,,,,,
Tovolar's Huntmaster,G,R,1569,1.4,1109,1.34,5759,57.60%,984,62.10%,1725,65.70%,2709,64.40%,3158,52.00%,12.4pp
,,,,,,,,,,,,,,,,,
Turn the Earth,G,U,21904,7.3,2550,10.86,1239,54.00%,225,51.60%,383,57.40%,608,55.30%,675,53.60%,1.6pp
,,,,,,,,,,,,,,,,,
Unnatural Growth,G,R,2537,2.37,767,2.55,2756,53.60%,465,53.50%,700,56.10%,1165,55.10%,1612,52.80%,2.3pp
,,,,,,,,,,,,,,,,,
Willow Geist,G,R,3341,3.01,681,3.75,1665,51.70%,326,55.80%,448,50.70%,774,52.80%,923,50.20%,2.7pp
,,,,,,,,,,,,,,,,,
Wrenn and Seven,G,M,661,1.12,502,1.1,2357,58.40%,408,67.90%,688,66.30%,1096,66.90%,1297,51.80%,15.1pp
,,,,,,,,,,,,,,,,,
Angelfire Ignition,WR,R,2631,2.56,1020,2.58,3444,55.70%,604,63.20%,955,61.90%,1559,62.40%,1940,50.40%,12.0pp
,,,,,,,,,,,,,,,,,
Arcane Infusion,UR,U,21029,6.71,2970,9.55,3610,50.90%,756,47.90%,1321,51.20%,2077,50.00%,1776,51.50%,-1.5pp
,,,,,,,,,,,,,,,,,
"Arlinn, the Pack's Hope",RG,M,640,1.18,452,1.14,1899,52.70%,330,57.00%,492,56.50%,822,56.70%,1097,49.40%,7.3pp
,,,,,,,,,,,,,,,,,
Bladestitched Skaab,UB,U,14078,4.13,4010,4.8,14745,59.50%,3255,62.50%,6112,63.60%,9367,63.20%,6883,55.90%,7.3pp
,,,,,,,,,,,,,,,,,
Can't Stay Away,WB,R,3519,3.27,900,3.69,2533,53.90%,414,49.80%,673,51.70%,1087,51.00%,1463,56.10%,-5.2pp
,,,,,,,,,,,,,,,,,
Corpse Cobble,UB,U,18285,5.53,3473,7.42,9646,57.40%,1678,53.00%,3063,58.60%,4741,56.60%,5122,58.30%,-1.7pp
,,,,,,,,,,,,,,,,,
Croaking Counterpart,UG,R,5049,4.38,894,6,1167,55.40%,186,,410,58.30%,596,55.20%,638,56.40%,-1.2pp
,,,,,,,,,,,,,,,,,
Dawnhart Wardens,WG,U,15916,4.71,2836,6.16,8112,57.20%,1784,60.00%,2716,58.40%,4500,59.00%,4162,55.30%,3.7pp
,,,,,,,,,,,,,,,,,
"Dennick, Pious Apprentice",WU,R,2723,2.63,1076,2.5,4229,61.00%,778,69.50%,1371,63.10%,2149,65.40%,2217,57.40%,8.0pp
,,,,,,,,,,,,,,,,,
Devoted Grafkeeper,WU,U,16030,4.94,3560,6.07,9040,59.30%,2062,61.70%,3683,61.60%,5745,61.70%,4137,56.90%,4.8pp
,,,,,,,,,,,,,,,,,
Dire-Strain Rampage,RG,R,5087,4.34,733,6.21,362,,55,,79,,134,,230,46.50%,
,,,,,,,,,,,,,,,,,
Diregraf Rebirth,BG,U,17195,5.07,2923,6.92,6655,53.60%,1149,51.80%,1995,54.80%,3144,53.70%,3677,53.50%,0.2pp
,,,,,,,,,,,,,,,,,
Faithful Mending,WU,U,19988,6.11,2731,8.95,4396,56.80%,809,54.40%,1383,57.50%,2192,56.30%,2354,57.40%,-1.1pp
,,,,,,,,,,,,,,,,,
Fleshtaker,WB,U,15538,4.59,3488,5.72,9884,57.50%,2154,62.10%,3694,61.10%,5848,61.50%,4941,54.30%,7.2pp
,,,,,,,,,,,,,,,,,
"Florian, Voldaren Scion",BR,R,2121,1.93,977,1.89,3695,56.80%,649,62.20%,989,61.00%,1638,61.50%,2172,53.50%,8.0pp
,,,,,,,,,,,,,,,,,
Galvanic Iteration,UR,R,5236,4.65,932,6.62,1157,53.10%,155,,376,57.40%,531,56.70%,640,50.20%,6.5pp
,,,,,,,,,,,,,,,,,
Ghoulcaller's Harvest,BG,R,3895,3.55,706,4.38,1196,47.80%,153,,340,46.50%,493,45.80%,707,49.20%,-3.4pp
,,,,,,,,,,,,,,,,,
Grizzly Ghoul,BG,U,16630,4.98,2443,7.02,5239,53.10%,1031,52.80%,1812,53.60%,2843,53.30%,2715,52.50%,0.8pp
,,,,,,,,,,,,,,,,,
Hallowed Respite,WU,R,4597,4.02,784,5.5,1210,55.10%,205,56.10%,369,58.80%,574,57.80%,647,52.90%,5.0pp
,,,,,,,,,,,,,,,,,
Hungry for More,BR,U,17854,5.41,2657,7.58,5992,53.10%,1277,50.00%,1738,52.20%,3015,51.30%,3278,54.80%,-3.5pp
,,,,,,,,,,,,,,,,,
Join the Dance,WG,U,18363,5.56,2940,7.52,7134,57.40%,1588,57.10%,2082,58.10%,3670,57.70%,3799,56.80%,0.8pp
,,,,,,,,,,,,,,,,,
"Katilda, Dawnhart Prime",WG,R,2318,2.19,894,2.13,3472,56.30%,635,61.40%,947,62.50%,1582,62.10%,1958,52.00%,10.1pp
,,,,,,,,,,,,,,,,,
Kessig Naturalist,RG,U,12922,4.23,2148,5.5,5608,50.60%,1255,56.30%,1735,52.00%,2990,53.80%,2973,47.80%,6.1pp
,,,,,,,,,,,,,,,,,
"Liesa, Forgotten Archangel",WB,R,1681,1.46,1108,1.4,5117,58.40%,886,63.70%,1694,65.50%,2580,64.90%,2744,52.70%,12.2pp
,,,,,,,,,,,,,,,,,
"Ludevic, Necrogenius",UB,R,2697,2.46,1254,2.57,4938,58.60%,864,62.30%,1683,62.10%,2547,62.20%,2589,55.40%,6.8pp
,,,,,,,,,,,,,,,,,
Old Stickfingers,BG,R,3343,3.01,722,3.59,1656,50.20%,298,47.30%,453,53.40%,751,51.00%,935,49.70%,1.3pp
,,,,,,,,,,,,,,,,,
"Rem Karolus, Stalwart Slayer",WR,R,2429,2.3,830,2.26,2418,54.80%,457,59.30%,664,55.30%,1121,56.90%,1355,52.90%,4.0pp
,,,,,,,,,,,,,,,,,
Rite of Harmony,WG,R,5030,4.32,746,6.02,407,,55,,107,,162,,246,52.00%,
,,,,,,,,,,,,,,,,,
Rite of Oblivion,WB,U,14248,4.22,3457,5.18,10617,56.20%,2090,56.70%,3544,60.60%,5634,59.20%,5466,53.90%,5.3pp
,,,,,,,,,,,,,,,,,
Rootcoil Creeper,UG,U,17123,5.37,3567,6.63,7817,57.00%,1900,62.70%,3172,57.80%,5072,59.60%,3585,53.80%,5.8pp
,,,,,,,,,,,,,,,,,
Sacred Fire,WR,U,15446,4.6,2842,6.03,6370,54.50%,1444,57.80%,2123,59.50%,3567,58.80%,3338,51.10%,7.7pp
,,,,,,,,,,,,,,,,,
"Sigarda, Champion of Light",WG,M,801,1.36,536,1.31,2391,58.30%,429,64.80%,662,64.70%,1091,64.70%,1362,53.20%,11.5pp
,,,,,,,,,,,,,,,,,
Siphon Insight,UB,R,3275,3.01,872,3.5,2905,54.30%,532,50.90%,854,53.40%,1386,52.50%,1544,56.10%,-3.6pp
,,,,,,,,,,,,,,,,,
"Slogurk, the Overslime",UG,R,3116,2.88,916,3.07,2509,56.00%,433,56.40%,837,56.90%,1270,56.70%,1348,55.60%,1.1pp
,,,,,,,,,,,,,,,,,
Storm Skreelix,UR,U,18360,5.65,2820,7.77,5153,52.90%,1016,48.60%,2247,55.10%,3263,53.10%,2394,52.00%,1.1pp
,,,,,,,,,,,,,,,,,
Sunrise Cavalier,WR,U,13791,4.14,2384,5.45,5932,54.60%,1359,60.30%,2024,55.10%,3383,57.20%,2973,51.90%,5.3pp
,,,,,,,,,,,,,,,,,
"Teferi, Who Slows the Sunset",WU,M,756,1.28,474,1.25,1605,54.30%,268,52.20%,503,58.60%,771,56.40%,847,52.20%,4.2pp
,,,,,,,,,,,,,,,,,
"Tovolar, Dire Overlord",RG,R,1876,1.75,900,1.63,3276,52.10%,596,56.40%,878,54.40%,1474,55.20%,1901,49.60%,5.6pp
,,,,,,,,,,,,,,,,,
Unnatural Moonrise,RG,U,17879,5.51,2141,7.97,4149,49.70%,808,46.90%,1196,46.10%,2004,46.40%,2310,51.90%,-5.5pp
,,,,,,,,,,,,,,,,,
"Vadrik, Astral Archmage",UR,R,3523,3.11,920,3.5,2192,50.50%,375,49.10%,682,50.90%,1057,50.20%,1208,50.20%,0.1pp
,,,,,,,,,,,,,,,,,
Vampire Socialite,BR,U,13465,4.13,2698,5.13,7948,55.30%,1825,63.20%,2572,55.70%,4397,58.80%,4127,52.40%,6.4pp
,,,,,,,,,,,,,,,,,
Wake to Slaughter,BR,R,3933,3.57,809,4.44,1519,51.00%,242,41.70%,391,47.10%,633,45.00%,902,55.20%,-10.2pp
,,,,,,,,,,,,,,,,,
Winterthorn Blessing,UG,U,19953,6.25,3082,8.64,4916,56.60%,999,56.00%,1800,59.80%,2799,58.40%,2451,55.00%,3.5pp
,,,,,,,,,,,,,,,,,
The Celestus,,R,2395,2.15,898,2.27,3726,55.30%,705,57.90%,949,56.80%,1654,57.30%,2080,53.80%,3.5pp
,,,,,,,,,,,,,,,,,
Crossroads Candleguide,,C,63592,7.93,7722,11.41,4130,50.10%,720,47.10%,1264,51.50%,1984,49.90%,2292,50.20%,-0.3pp
,,,,,,,,,,,,,,,,,
Jack-o'-Lantern,,C,64155,8.09,8171,11.46,4584,53.50%,955,55.70%,1326,53.80%,2281,54.60%,2439,52.80%,1.8pp
,,,,,,,,,,,,,,,,,
Moonsilver Key,,U,22602,7.39,2719,11,726,,160,,186,,346,43.90%,385,46.80%,-2.8pp
,,,,,,,,,,,,,,,,,
Mystic Skull,,U,18695,5.5,1998,8.55,2769,48.40%,487,46.40%,804,47.40%,1291,47.00%,1520,49.40%,-2.4pp
,,,,,,,,,,,,,,,,,
Pithing Needle,,R,5715,4.82,765,7.31,20,,5,,5,,10,,10,,
,,,,,,,,,,,,,,,,,
Silver Bolt,,C,56237,5.71,10176,7.98,29676,56.30%,6000,55.20%,9268,57.00%,15268,56.30%,15553,56.20%,0.1pp
,,,,,,,,,,,,,,,,,
Stuffed Bear,,C,63300,7.98,5580,12.09,1477,51.80%,289,48.80%,436,48.60%,725,48.70%,791,54.00%,-5.3pp
,,,,,,,,,,,,,,,,,
Deserted Beach,WU,R,3603,3.11,787,3.99,1702,55.60%,329,57.10%,491,56.20%,820,56.60%,891,54.80%,1.8pp
,,,,,,,,,,,,,,,,,
Evolving Wilds,,C,51808,4.91,10543,6.9,46348,56.60%,10366,59.10%,15357,55.80%,25723,57.10%,23733,56.30%,0.9pp
,,,,,,,,,,,,,,,,,
Field of Ruin,,U,22667,7.46,2520,11.2,541,,85,,137,,222,40.50%,321,52.30%,-11.8pp
,,,,,,,,,,,,,,,,,
Haunted Ridge,BR,R,3354,2.85,660,3.67,1419,51.30%,274,57.30%,325,46.50%,599,51.40%,823,51.20%,0.3pp
,,,,,,,,,,,,,,,,,
Hostile Hostel,B,M,885,1.6,465,1.64,2055,52.70%,327,46.20%,567,54.10%,894,51.20%,1169,53.70%,-2.5pp
,,,,,,,,,,,,,,,,,
Overgrown Farmland,WG,R,3565,2.99,674,3.83,1406,53.70%,280,53.60%,370,49.70%,650,51.40%,766,55.40%,-4.0pp
,,,,,,,,,,,,,,,,,
Rockfall Vale,RG,R,3431,2.93,678,3.67,1295,51.80%,275,53.80%,316,50.90%,591,52.30%,714,51.50%,0.7pp
,,,,,,,,,,,,,,,,,
Shipwreck Marsh,UB,R,3344,2.77,824,3.52,2388,55.50%,465,57.80%,648,58.60%,1113,58.30%,1283,53.20%,5.1pp
,,,,,,,,,,,,,,,,,
