Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR,IWD
Soul-Guide Gryff,W,C,53762,5.69,8018,8.04,22812,55.60%,4359,54.40%,8037,56.80%,12396,55.90%,11854,55.30%,0.6pp
,,,,,,,,,,,,,,,,,
Sungold Barrage,W,C,54514,6.04,5396,9.24,10990,54.50%,1951,53.70%,3371,56.90%,5322,55.70%,5955,53.30%,2.4pp
,,,,,,,,,,,,,,,,,
Sungold Sentinel,W,R,1900,1.69,1004,1.75,4837,56.80%,880,61.10%,1386,59.90%,2266,60.40%,2672,54.30%,6.1pp
,,,,,,,,,,,,,,,,,
Sunset Revelry,W,U,15526,4.66,1783,7.16,3830,54.80%,740,54.20%,1118,54.90%,1858,54.60%,2073,54.20%,0.4pp
,,,,,,,,,,,,,,,,,
Thraben Exorcism,W,C,63703,8.44,6603,12.4,657,,95,,182,,277,46.20%,382,56.50%,-10.3pp
,,,,,,,,,,,,,,,,,
Unruly Mob,W,C,52916,5.62,6866,8.3,17543,55.00%,4027,53.50%,6275,54.10%,10302,53.90%,8675,55.90%,-2.0pp
,,,,,,,,,,,,,,,,,
Vanquish the Horde,W,R,2189,2.06,1045,2.04,4255,58.00%,720,57.90%,1298,65.10%,2018,62.50%,2309,54.30%,8.3pp
,,,,,,,,,,,,,,,,,
Baithook Angler,U,C,54251,5.69,12418,7.46,39091,58.80%,10318,60.30%,15856,58.80%,26174,59.40%,17604,57.80%,1.5pp
,,,,,,,,,,,,,,,,,
Component Collector,U,C,62295,7.86,8238,11.17,5571,50.50%,1106,48.50%,2020,51.40%,3126,50.40%,2781,50.40%,0.0pp
,,,,,,,,,,,,,,,,,
Consider,U,C,58686,6.55,10600,8.93,23701,57.00%,5556,57.00%,9435,58.50%,14991,58.00%,11188,56.40%,1.6pp
,,,,,,,,,,,,,,,,,
Covetous Castaway,U,U,13313,3.88,4532,4.55,20200,58.30%,4187,58.90%,6591,58.40%,10778,58.60%,10440,57.80%,0.8pp
,,,,,,,,,,,,,,,,,
Curse of Surveillance,U,R,3527,3.17,1232,3.34,4516,53.60%,777,52.00%,1369,56.50%,2146,54.90%,2410,52.40%,2.5pp
,,,,,,,,,,,,,,,,,
Delver of Secrets,U,U,15158,4.7,2012,6.77,4778,54.30%,987,63.80%,1715,55.20%,2702,58.30%,2411,50.40%,7.9pp
,,,,,,,,,,,,,,,,,
Devious Cover-Up,U,C,61404,7.52,10197,10.19,13286,55.70%,2863,52.70%,6061,59.10%,8924,57.00%,5921,55.50%,1.5pp
,,,,,,,,,,,,,,,,,
Dissipate,U,U,19278,5.9,2879,8.53,6264,56.50%,1131,52.50%,2191,60.30%,3322,57.70%,3170,56.00%,1.7pp
,,,,,,,,,,,,,,,,,
Drownyard Amalgam,U,C,59667,6.92,9426,9.68,18333,55.90%,3217,52.60%,6629,57.20%,9846,55.70%,9348,56.00%,-0.3pp
,,,,,,,,,,,,,,,,,
Fading Hope,U,U,17696,5.18,3327,7.02,10665,57.10%,1956,56.80%,3568,60.40%,5524,59.10%,5521,55.40%,3.8pp
,,,,,,,,,,,,,,,,,
Falcon Abomination,U,C,44257,4.45,11731,5.6,40018,58.70%,10854,60.40%,19201,62.10%,30055,61.50%,16453,55.50%,6.0pp
,,,,,,,,,,,,,,,,,
Firmament Sage,U,U,13914,4,3284,5.02,11881,54.20%,2238,50.90%,4077,55.90%,6315,54.10%,6133,54.70%,-0.6pp
,,,,,,,,,,,,,,,,,
Flip the Switch,U,C,57060,6.49,10257,8.78,25750,58.80%,5783,60.20%,10263,62.20%,16046,61.40%,11972,56.20%,5.2pp
,,,,,,,,,,,,,,,,,
Galedrifter,U,C,49500,5.03,10650,6.74,35181,57.00%,7896,54.70%,14169,58.50%,22065,57.20%,16597,56.60%,0.5pp
,,,,,,,,,,,,,,,,,
Geistwave,U,C,58588,6.74,10028,9.27,22659,56.20%,4403,53.80%,8408,57.80%,12811,56.40%,11235,55.70%,0.7pp
,,,,,,,,,,,,,,,,,
Grafted Identity,U,R,2008,1.81,1375,1.8,7175,59.50%,1232,63.40%,2252,64.80%,3484,64.30%,3768,55.30%,9.0pp
,,,,,,,,,,,,,,,,,
Larder Zombie,U,C,62844,8.12,9570,11.12,9669,57.90%,2062,59.50%,3174,57.70%,5236,58.40%,4895,56.90%,1.5pp
,,,,,,,,,,,,,,,,,
"Lier, Disciple of the Drowned",U,M,803,1.49,533,1.45,2381,56.60%,410,53.90%,844,62.00%,1254,59.30%,1194,53.90%,5.4pp
,,,,,,,,,,,,,,,,,
Locked in the Cemetery,U,C,50867,5.29,9654,7.22,28460,55.60%,6520,51.40%,11933,57.70%,18453,55.40%,12789,55.70%,-0.2pp
,,,,,,,,,,,,,,,,,
Malevolent Hermit,U,R,2297,2.11,1208,2.16,6136,58.30%,1137,61.10%,1743,57.80%,2880,59.10%,3354,57.60%,1.5pp
,,,,,,,,,,,,,,,,,
Memory Deluge,U,R,2446,2.17,1233,2.17,5852,57.50%,1011,54.30%,1679,62.30%,2690,59.30%,3202,55.90%,3.4pp
,,,,,,,,,,,,,,,,,
Mysterious Tome,U,U,15753,4.7,3283,6.07,10409,54.70%,1879,51.70%,3221,55.80%,5100,54.30%,5490,55.20%,-1.0pp
,,,,,,,,,,,,,,,,,
Nebelgast Intruder,U,U,13641,3.8,4285,4.59,18902,58.50%,3829,59.00%,6771,61.10%,10600,60.40%,9362,56.60%,3.8pp
,,,,,,,,,,,,,,,,,
Ominous Roost,U,U,17082,5.25,2714,7.28,4456,53.60%,939,51.30%,1737,56.50%,2676,54.70%,2069,52.70%,2.0pp
,,,,,,,,,,,,,,,,,
Organ Hoarder,U,C,46703,4.81,15941,5.5,49210,59.50%,14078,62.00%,25948,64.00%,40026,63.30%,20164,55.20%,8.1pp
,,,,,,,,,,,,,,,,,
Otherworldly Gaze,U,C,63271,8.34,7462,12.06,2572,50.10%,505,43.60%,795,51.60%,1300,48.50%,1350,51.30%,-2.9pp
,,,,,,,,,,,,,,,,,
Overwhelmed Archivist,U,U,12288,3.53,4427,4.09,20403,59.10%,4184,62.50%,6774,61.90%,10958,62.10%,10419,56.50%,5.6pp
,,,,,,,,,,,,,,,,,
Patrician Geist,U,R,2326,2.07,1108,2.09,5195,56.40%,924,56.80%,1676,58.50%,2600,57.90%,2749,54.70%,3.2pp
,,,,,,,,,,,,,,,,,
Phantom Carriage,U,U,13209,3.8,4312,4.43,18217,57.60%,3187,55.90%,6969,60.30%,10156,58.90%,8966,55.90%,3.1pp
,,,,,,,,,,,,,,,,,
Poppet Stitcher,U,M,792,1.39,572,1.36,2907,57.70%,515,57.50%,986,60.30%,1501,59.40%,1528,56.70%,2.6pp
,,,,,,,,,,,,,,,,,
Revenge of the Drowned,U,C,52370,5.53,13347,6.9,42630,59.40%,10256,59.80%,19160,63.80%,29416,62.40%,18449,56.10%,6.3pp
,,,,,,,,,,,,,,,,,
Secrets of the Key,U,C,61967,7.66,8813,10.82,10300,54.10%,1994,51.30%,3340,54.70%,5334,53.40%,5383,54.90%,-1.5pp
,,,,,,,,,,,,,,,,,
Shipwreck Sifters,U,C,60454,7.2,9773,9.74,12547,58.40%,3640,63.70%,6305,60.00%,9945,61.40%,5203,54.70%,6.7pp
,,,,,,,,,,,,,,,,,
Skaab Wrangler,U,U,17124,5.01,5352,5.8,20333,60.50%,4272,62.20%,7549,64.10%,11821,63.40%,9915,57.60%,5.8pp
,,,,,,,,,,,,,,,,,
Sludge Monster,U,R,1893,1.76,1290,1.76,6716,58.80%,1098,59.40%,2335,63.40%,3433,62.10%,3534,56.00%,6.1pp
,,,,,,,,,,,,,,,,,
Spectral Adversary,U,M,823,1.5,585,1.5,2846,56.70%,449,59.20%,912,64.00%,1361,62.50%,1547,51.90%,10.5pp
,,,,,,,,,,,,,,,,,
Startle,U,C,58102,6.58,10576,9.02,27865,58.20%,5971,57.70%,10268,61.40%,16239,60.00%,13471,56.60%,3.4pp
,,,,,,,,,,,,,,,,,
Stormrider Spirit,U,C,60231,7.12,8220,10.27,12658,54.80%,2349,52.10%,4748,55.50%,7097,54.40%,6298,55.60%,-1.2pp
,,,,,,,,,,,,,,,,,
Suspicious Stowaway,UG,R,1929,1.8,1222,1.76,6367,59.60%,1260,68.20%,2152,61.90%,3412,64.20%,3240,55.40%,8.8pp
,,,,,,,,,,,,,,,,,
Triskaidekaphile,U,R,3018,2.58,1239,2.79,5595,55.90%,1033,56.50%,1815,58.10%,2848,57.50%,2890,54.50%,3.1pp
,,,,,,,,,,,,,,,,,
Unblinking Observer,U,C,60976,7.37,10306,10.1,17402,55.70%,3774,56.00%,6425,55.20%,10199,55.50%,8437,56.10%,-0.6pp
,,,,,,,,,,,,,,,,,
Vivisection,U,U,18911,5.79,3380,7.95,8291,54.70%,1429,51.20%,2484,54.10%,3913,53.00%,4516,56.20%,-3.2pp
,,,,,,,,,,,,,,,,,
Arrogant Outlaw,B,C,55223,5.87,7820,8.49,18951,55.60%,4205,54.90%,6602,56.90%,10807,56.10%,9661,55.00%,1.1pp
,,,,,,,,,,,,,,,,,
Baneblade Scoundrel,B,U,10189,2.91,2870,3.55,12672,55.10%,2313,55.50%,3975,55.00%,6288,55.20%,6988,54.70%,0.5pp
,,,,,,,,,,,,,,,,,
Bat Whisperer,B,C,55499,5.89,7189,8.67,16153,55.60%,3139,57.20%,5290,56.40%,8429,56.70%,8669,55.20%,1.5pp
,,,,,,,,,,,,,,,,,
Bladebrand,B,C,59238,6.71,7474,9.92,11554,53.50%,2035,51.60%,3394,52.50%,5429,52.20%,6404,54.50%,-2.4pp
,,,,,,,,,,,,,,,,,
Blood Pact,B,C,58940,6.6,7292,9.86,12209,54.70%,2184,51.40%,3336,55.00%,5520,53.60%,6903,55.60%,-2.0pp
,,,,,,,,,,,,,,,,,
Bloodline Culling,B,R,1819,1.57,1173,1.57,5925,57.70%,1035,57.30%,1707,59.50%,2742,58.70%,3275,56.60%,2.0pp
,,,,,,,,,,,,,,,,,
Bloodtithe Collector,B,U,12573,3.47,2942,4.41,12654,56.20%,2214,57.30%,3948,57.40%,6162,57.30%,6930,55.30%,2.0pp
,,,,,,,,,,,,,,,,,
Champion of the Perished,B,R,2019,1.84,977,1.79,3912,57.80%,715,67.60%,1127,58.70%,1842,62.20%,2183,54.60%,7.5pp
,,,,,,,,,,,,,,,,,
Covert Cutpurse,B,U,11344,3.21,3018,3.96,13583,55.30%,2616,53.60%,3877,55.50%,6493,54.70%,7408,55.70%,-1.0pp
,,,,,,,,,,,,,,,,,
Crawl from the Cellar,B,C,57066,6.06,9061,8.59,27200,57.70%,4787,55.90%,8239,59.30%,13026,58.10%,14768,57.40%,0.7pp
,,,,,,,,,,,,,,,,,
Curse of Leeches,B,R,1790,1.66,992,1.65,4902,55.90%,847,55.60%,1440,57.60%,2287,56.90%,2714,55.20%,1.7pp
,,,,,,,,,,,,,,,,,
Defenestrate,B,C,27880,2.86,10562,3.37,43560,57.20%,9978,57.00%,15936,60.50%,25914,59.10%,21245,55.30%,3.8pp
,,,,,,,,,,,,,,,,,
Diregraf Horde,B,C,43848,4.37,11697,5.47,42559,58.40%,9611,59.40%,17874,62.90%,27485,61.70%,19676,55.40%,6.3pp
,,,,,,,,,,,,,,,,,
Dreadhound,B,U,10575,3.02,3878,3.52,17964,57.40%,3113,58.50%,6141,61.60%,9254,60.50%,9476,54.80%,5.7pp
,,,,,,,,,,,,,,,,,
Duress,B,C,62802,8.17,5615,12.47,327,,51,,101,,152,,179,,
,,,,,,,,,,,,,,,,,
Eaten Alive,B,C,34497,3.46,11102,4.14,43695,57.40%,9576,56.40%,16799,60.90%,26375,59.30%,21291,55.40%,3.8pp
,,,,,,,,,,,,,,,,,
Ecstatic Awakener,B,C,46156,4.61,10395,5.95,37202,58.50%,8843,62.60%,14737,61.60%,23580,62.00%,17863,55.30%,6.7pp
,,,,,,,,,,,,,,,,,
Foul Play,B,U,10923,3.04,3837,3.56,18216,58.90%,3580,59.80%,5526,62.90%,9106,61.70%,9774,56.70%,5.0pp
,,,,,,,,,,,,,,,,,
Ghoulish Procession,B,U,12401,3.58,2343,4.64,8840,53.40%,1628,50.20%,2604,51.00%,4232,50.70%,4783,55.60%,-5.0pp
,,,,,,,,,,,,,,,,,
"Gisa, Glorious Resurrector",B,R,1481,1.27,1095,1.25,5765,57.20%,965,57.20%,1842,59.80%,2807,58.90%,3182,56.10%,2.8pp
,,,,,,,,,,,,,,,,,
Graveyard Trespasser,B,R,1532,1.39,1081,1.37,5778,58.90%,1036,61.70%,1800,64.90%,2836,63.70%,3117,55.20%,8.5pp
,,,,,,,,,,,,,,,,,
Heirloom Mirror,B,U,14340,4.22,2654,5.55,8331,53.50%,1579,52.30%,2307,51.10%,3886,51.60%,4590,55.00%,-3.4pp
,,,,,,,,,,,,,,,,,
Hobbling Zombie,B,C,44427,4.27,9508,5.77,37139,57.00%,8567,56.80%,14195,58.00%,22762,57.50%,18049,56.50%,1.0pp
,,,,,,,,,,,,,,,,,
Infernal Grasp,B,U,6643,1.98,3721,2.18,18729,57.60%,3567,59.00%,5722,62.30%,9289,61.00%,10055,54.70%,6.3pp
,,,,,,,,,,,,,,,,,
"Jadar, Ghoulcaller of Nephalia",B,R,1619,1.45,1109,1.46,5727,57.00%,1048,64.10%,1680,58.50%,2728,60.70%,3132,54.10%,6.6pp
,,,,,,,,,,,,,,,,,
"Jerren, Corrupted Bishop",B,M,761,1.2,586,1.19,2953,58.30%,510,63.30%,909,63.70%,1419,63.60%,1608,54.10%,9.5pp
,,,,,,,,,,,,,,,,,
Lord of the Forsaken,B,M,700,1.21,557,1.21,2901,56.40%,476,59.70%,895,59.70%,1371,59.70%,1598,53.60%,6.1pp
,,,,,,,,,,,,,,,,,
Mask of Griselbrand,B,R,1721,1.58,1145,1.55,5524,55.50%,948,53.90%,1487,58.00%,2435,56.40%,3114,54.90%,1.5pp
,,,,,,,,,,,,,,,,,
The Meathook Massacre,B,M,708,1.25,571,1.28,3087,61.00%,536,68.10%,886,67.40%,1422,67.70%,1676,55.30%,12.3pp
,,,,,,,,,,,,,,,,,
Morbid Opportunist,B,U,8331,2.42,4211,2.63,20750,58.70%,4074,63.10%,6881,62.20%,10955,62.50%,10973,55.50%,7.0pp
,,,,,,,,,,,,,,,,,
Morkrut Behemoth,B,C,50756,5.25,7837,7.51,24521,54.50%,4364,52.30%,8780,55.10%,13144,54.20%,12843,54.60%,-0.5pp
,,,,,,,,,,,,,,,,,
Necrosynthesis,B,U,17552,5.33,1699,8.64,2105,49.10%,395,42.80%,563,46.90%,958,45.20%,1161,52.30%,-7.1pp
,,,,,,,,,,,,,,,,,
No Way Out,B,C,57546,6.44,6528,9.83,9822,55.70%,1770,58.40%,2951,56.70%,4721,57.30%,5295,54.40%,2.9pp
,,,,,,,,,,,,,,,,,
Novice Occultist,B,C,54570,5.7,8776,8.03,25264,55.70%,5958,54.70%,9031,55.20%,14989,55.00%,12557,56.20%,-1.2pp
,,,,,,,,,,,,,,,,,
Olivia's Midnight Ambush,B,C,32980,3.29,11752,3.92,46152,57.30%,10943,57.20%,17974,61.20%,28917,59.60%,21916,55.30%,4.3pp
,,,,,,,,,,,,,,,,,
Rotten Reunion,B,C,59064,6.76,6640,10.13,9370,55.10%,1693,51.70%,2768,57.00%,4461,55.00%,5119,55.10%,-0.1pp
,,,,,,,,,,,,,,,,,
Shady Traveler,B,C,50258,5.03,7878,7.27,23831,54.90%,5116,54.00%,8329,54.00%,13445,54.00%,12201,55.30%,-1.3pp
,,,,,,,,,,,,,,,,,
Siege Zombie,B,C,52257,5.32,11808,6.92,40472,58.10%,9949,58.70%,16023,59.70%,25972,59.40%,18927,56.80%,2.5pp
,,,,,,,,,,,,,,,,,
Slaughter Specialist,B,R,1907,1.67,971,1.67,4771,54.60%,855,57.00%,1377,52.70%,2232,54.30%,2675,54.60%,-0.3pp
